race_id,date,distance,weather,num_horses,horse_id,horse_name,FP,odds_win,time,last3f,weight,PP,sex_age,jockey,pop_win,horse_weight,venue,surface_type,track_condition,url_jp,target_win,sex,age,weather_Cloudy,weather_LightRain,weather_Rain,weather_Snow,weather_Sunny,weather_nan,sex_2,sex_3,sex_nan
202405010309,2024-02-03,1400.0,Sunny,8,2021103559,Omega Wink,1.0,3.7,1:21.1,33.5,55,7,3F,T.Yokoyama,2.0,470(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/,1,3,3,False,False,False,False,True,False,False,True,False
202405010309,2024-02-03,1400.0,Sunny,8,2021106615,Can See Angel,3.0,30.3,1:21.5,33.4,55,3,3F,A.Sugawara,6.0,454(-2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/,0,3,3,False,False,False,False,True,False,False,True,False
202405010309,2024-02-03,1400.0,Sunny,8,2021105974,Barone,5.0,9.0,1:21.5,33.5,55,1,3F,C.Lemaire,4.0,476(+8),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/,0,3,3,False,False,False,False,True,False,False,True,False
202405010309,2024-02-03,1400.0,Sunny,8,2021105358,Asti Spumante,6.0,11.8,1:21.6,33.4,55,5,3F,R.King,5.0,414(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/,0,3,3,False,False,False,False,True,False,False,True,False
202405010309,2024-02-03,1400.0,Sunny,8,2021100610,Asagiri,7.0,68.0,1:22.4,33.9,55,8,3F,K.Miura,8.0,446(-8),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/,0,3,3,False,False,False,False,True,False,False,True,False
202405010309,2024-02-03,1400.0,Sunny,8,2021101289,Dino Sunrise,8.0,53.2,1:22.5,34.7,55,6,3F,R.Piechulek,7.0,448(-2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021110160,Sonshi,1.0,1.7,1:20.9,33.0,57,4,3C,Y.Kawada,1.0,486(+8),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,1,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021104908,Nicholaus,2.0,4.9,1:21.4,33.0,57,9,3C,T.Yokoyama,2.0,448(+14),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021105609,Spark Richard,3.0,9.1,1:21.5,34.3,57,12,3C,H.Tanabe,4.0,482(+12),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021103535,Shines on You,4.0,20.0,1:21.8,34.7,57,7,3C,K.Matsuyama,5.0,448(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021101023,Eifer Battle,5.0,43.5,1:22.0,33.4,55,11,3C,N.Fujita,8.0,444(0),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021105668,Buster Call,6.0,5.2,1:22.0,33.6,57,6,3C,C.Lemaire,3.0,496(+8),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021100610,Asagiri,7.0,194.2,1:22.1,34.0,52,5,3F,S.Kobayashi,12.0,448(+2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021102280,David Tesoro,8.0,53.4,1:22.3,34.2,56,2,3C,Y.Hara,9.0,470(0),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021106939,Taisei Festa,9.0,39.7,1:22.4,33.8,57,10,3C,K.Yokoyama,7.0,492(+8),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021102388,Kaiko,10.0,101.6,1:22.5,33.9,57,13,3G,A.Sugawara,10.0,448(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021103695,Because We Can,11.0,516.3,1:22.5,35.0,57,3,3C,K.Kato,13.0,422(+2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021101189,Pink Venom,12.0,110.6,1:22.6,35.2,55,1,3F,T.Kowata,11.0,482(+8),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010507,2024-02-10,1400.0,Sunny,13,2021100247,Tiger Dragon,13.0,39.2,1:22.7,34.6,56,8,3C,T.Nagano,6.0,448(+16),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010507/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021106069,Pod Theo,1.0,4.0,1:35.7,33.7,57,10,3C,R.King,3.0,470(+2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,1,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021105871,Sonic Line,2.0,3.6,1:35.8,33.9,57,7,3C,C.Lemaire,2.0,504(+8),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021103303,Dreaming Up,3.0,49.2,1:36.0,33.6,57,4,3C,Y.Yoshida,10.0,460(+6),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021106369,Channel Tunnel,4.0,3.2,1:36.0,33.8,57,5,3C,M.Matsuoka,1.0,480(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021105578,Shonan Rapidus,5.0,5.9,1:36.1,34.2,57,3,3C,K.Tosaki,4.0,484(-2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021102106,Tsurumau Katachi,6.0,22.6,1:36.2,34.3,57,11,3C,Y.Ishikawa,6.0,472(-12),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021106102,Ecoro Raijin,7.0,10.5,1:36.2,34.4,57,8,3C,A.Sugawara,5.0,456(-8),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021104554,Limerick,8.0,33.5,1:36.4,34.2,57,12,3C,B.Murzabayev,8.0,464(-6),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021100152,Best of You,9.0,45.9,1:36.4,33.9,57,2,3C,H.Tanabe,9.0,426(+16),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021104326,Yukino Royal,10.0,28.3,1:36.5,34.7,57,9,3C,S.Ishibashi,7.0,444(0),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021103326,Mysig,11.0,279.8,1:37.2,34.6,55,1,3F,H.Uchida,12.0,466(-6),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405010805,2024-02-18,1600.0,Sunny,12,2021104724,Tosen Kleine,12.0,163.4,1:37.5,35.8,55,6,3F,K.Yokoyama,11.0,448(-2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010805/,0,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021104908,Nicholaus,1.0,3.0,1:20.8,33.4,57,1,3C,T.Yokoyama,2.0,440(+2),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,1,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021110003,And I Love Her,2.0,2.0,1:20.9,33.7,55,5,3F,K.Tosaki,1.0,480(+6),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021106298,Morino Red Star,3.0,6.1,1:21.2,34.3,55,4,3F,A.Tsumura,3.0,472(+8),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021106308,Kaito Gut,4.0,10.0,1:21.4,33.3,55,11,3F,A.Sugawara,4.0,464(+4),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021103513,L'Hexagone,5.0,37.0,1:21.4,33.6,55,8,3F,T.O'shea,8.0,460(+2),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021106648,Bene Merenti,6.0,35.2,1:21.8,33.4,55,10,3F,K.Miura,7.0,434(-4),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021105901,Siegrune,7.0,14.1,1:22.0,34.6,55,6,3F,Y.Ishikawa,5.0,466(+12),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021105397,Aphelion,8.0,22.1,1:22.3,33.7,57,7,3C,H.Kitamura,6.0,476(-4),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021100060,Leo Empress,9.0,446.5,1:22.3,34.3,55,9,3F,K.Ogino,10.0,478(-6),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021102521,Shisocho,10.0,439.4,1:24.3,35.6,55,2,3F,R.Sugahara,9.0,446(-10),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405020506,2024-05-04,1400.0,Sunny,10,2021101223,Queen's Hat,,,,,55,3,3F,K.Maruta,,,NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021105888,Steelblue,1.0,1.7,1:21.0,33.4,55,10,3F,C.Lemaire,1.0,436(+6),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,1,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021106308,Kaito Gut,2.0,8.3,1:21.4,33.6,55,6,3F,G.Maruyama,3.0,460(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021106298,Morino Red Star,3.0,10.3,1:21.7,34.0,55,12,3F,A.Tsumura,4.0,460(-12),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021103039,Going My Way,4.0,12.0,1:21.7,33.7,57,2,3C,J.Moreira,5.0,468(-2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021105057,On the Venus,5.0,135.8,1:21.9,34.4,55,7,3F,M.Sugihara,11.0,424(+4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021100247,Tiger Dragon,6.0,251.7,1:21.9,33.4,53,13,3C,H.Oehara,12.0,438(-10),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021100152,Best of You,7.0,90.4,1:21.9,34.0,57,11,3C,T.Yokoyama,10.0,418(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021101023,Eifer Battle,8.0,52.8,1:21.9,33.2,55,3,3C,N.Fujita,9.0,436(-8),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021105150,Nafarroa,9.0,4.3,1:22.2,34.0,57,4,3C,K.Tosaki,2.0,456(-6),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021100879,Hakusan Eagle,11.0,20.0,1:22.4,34.2,57,5,3C,T.O'shea,6.0,466(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021103347,Bogo Sipda,12.0,605.6,1:22.5,34.2,52,8,3F,T.Ishida,15.0,376(+4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021103535,Shines on You,13.0,52.7,1:22.8,35.0,56,14,3C,Y.Hara,8.0,440(-6),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021104050,Nishino Ojo,15.0,293.1,1:24.3,36.3,55,1,3F,Y.Ishikawa,13.0,446(-2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405040606,2024-10-20,1400.0,Sunny,8,2022105317,Meant to Be,1.0,5.5,1:24.2,33.1,55,7,2F,M.Matsuoka,3.0,438(0),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,1,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022105429,Chigiri,2.0,5.3,1:24.5,33.2,55,6,2F,T.Yokoyama,2.0,456(+8),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022100737,Seiun Big Bang,3.0,1.3,1:25.1,33.6,56,3,2C,K.Miura,1.0,434(+2),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022100336,Friend Beach,4.0,36.2,1:25.2,33.7,55,1,2F,Y.Yoshida,5.0,414(+2),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022101983,Miraieno Bouquet,5.0,8.1,1:25.4,34.0,55,4,2F,D.Shibata,4.0,446(+16),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022103329,Feliz Navidad,6.0,227.6,1:26.1,34.4,55,5,2F,K.Maruta,7.0,452(-6),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022100286,Futaiten Wheel,7.0,85.8,1:26.1,34.3,52,8,2F,T.Ishida,6.0,422(+8),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202405040606,2024-10-20,1400.0,Sunny,8,2022103041,Camice,8.0,307.8,1:26.4,34.7,55,2,2F,T.Nishimura,8.0,394(-4),NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405040606/,0,2,2,False,False,False,False,True,False,True,False,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021105956,London Arms,2.0,59.6,1:33.5,34.3,55,5,3F,K.Yokoyama,9.0,438(+4),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021106195,Win Dione,3.0,12.4,1:33.6,35.1,55,3,3F,R.Kingscote,6.0,456(0),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021105529,Lux Noah,4.0,11.6,1:33.6,34.7,55,2,3F,A.Tsumura,5.0,454(-12),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021105801,Mi Anhelo,5.0,2.4,1:33.6,34.2,55,8,3F,C.Lemaire,1.0,478(0),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021103559,Omega Wink,6.0,6.9,1:33.7,34.3,55,11,3F,R.Piechulek,4.0,474(+10),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021106308,Kaito Gut,7.0,38.2,1:33.7,34.6,55,10,3F,D.Shibata,7.0,462(-4),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021101289,Dino Sunrise,8.0,82.3,1:34.0,35.4,55,1,3F,R.King,10.0,450(+2),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021100189,Nishino Koigokoro,9.0,59.6,1:34.2,34.2,55,9,3F,Y.Nonaka,8.0,424(0),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021100102,Coconut Cute,11.0,662.7,1:34.6,34.9,55,7,3F,K.Maruta,12.0,448(+2),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406010409,2024-01-13,1600.0,Cloudy,12,2021106655,Lotus Wand,12.0,195.8,1:34.9,35.2,55,12,3F,A.Sugawara,11.0,454(-8),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021102280,David Tesoro,1.0,8.8,1:35.1,35.6,56,1,3C,Y.Hara,5.0,466(-4),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,1,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021105467,For the Boys,2.0,1.8,1:35.2,35.0,55,11,3F,K.Miura,1.0,426(0),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021101595,Viva Crown,3.0,4.7,1:35.3,35.4,57,10,3C,T.Ono,2.0,468(-4),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021101023,Eifer Battle,4.0,6.5,1:35.6,35.1,55,5,3C,N.Fujita,3.0,444(0),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021104416,Wide Blizzard,5.0,7.2,1:35.7,36.0,57,8,3C,R.King,4.0,446(0),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021106366,Roanoke Tesoro,6.0,15.0,1:35.8,35.9,55,2,3F,T.Kowata,6.0,466(+10),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021105006,Kaimana Eleele,7.0,254.7,1:36.1,35.8,55,3,3F,M.Muto,10.0,394(-4),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021105368,Jun Powerful,8.0,67.6,1:36.5,36.5,52,6,3F,S.Kobayashi,7.0,452(-2),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021106405,Cheval Aile,9.0,207.7,1:36.6,36.1,57,9,3C,Y.Yoshida,8.0,520(-8),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
